Time,Sample,Replicate,CD,DP,CA,PC,CS,CH,BU,BT,PV,EL
0,CD_CA_BU,3,0.001833333333333,0,0.001833333333333,0,0,0,0.001833333333333,0,0,0
0,CD_CA_BT,1,0.001833333333333,0,0.001833333333333,0,0,0,0,0.001833333333333,0,0
0,CD_CA_BT,2,0.001833333333333,0,0.001833333333333,0,0,0,0,0.001833333333333,0,0
0,CD_CA_BT,3,0.001833333333333,0,0.001833333333333,0,0,0,0,0.001833333333333,0,0
0,CD_CA_PV,1,0.001833333333333,0,0.001833333333333,0,0,0,0,0,0.001833333333333,0
0,CD_CA_PV,2,0.001833333333333,0,0.001833333333333,0,0,0,0,0,0.001833333333333,0
0,CD_CA_PV,3,0.001833333333333,0,0.001833333333333,0,0,0,0,0,0.001833333333333,0
0,CD_CA_EL,1,0.001833333333333,0,0.001833333333333,0,0,0,0,0,0,0.001833333333333
0,CD_CA_EL,2,0.001833333333333,0,0.001833333333333,0,0,0,0,0,0,0.001833333333333
0,CD_CA_EL,3,0.001833333333333,0,0.001833333333333,0,0,0,0,0,0,0.001833333333333
0,CD_PC_CS,1,0.001833333333333,0,0,0.001833333333333,0.001833333333333,0,0,0,0,0
0,CD_PC_CS,2,0.001833333333333,0,0,0.001833333333333,0.001833333333333,0,0,0,0,0
0,CD_PC_CS,3,0.001833333333333,0,0,0.001833333333333,0.001833333333333,0,0,0,0,0
0,CD_PC_CH,1,0.001833333333333,0,0,0.001833333333333,0,0.001833333333333,0,0,0,0
0,CD_PC_CH,2,0.001833333333333,0,0,0.001833333333333,0,0.001833333333333,0,0,0,0
0,CD_PC_CH,3,0.001833333333333,0,0,0.001833333333333,0,0.001833333333333,0,0,0,0
0,CD_PC_BU,1,0.001833333333333,0,0,0.001833333333333,0,0,0.001833333333333,0,0,0
0,CD_PC_BU,2,0.001833333333333,0,0,0.001833333333333,0,0,0.001833333333333,0,0,0
0,CD_PC_BU,3,0.001833333333333,0,0,0.001833333333333,0,0,0.001833333333333,0,0,0
0,CD_PC_BT,1,0.001833333333333,0,0,0.001833333333333,0,0,0,0.001833333333333,0,0
0,CD_PC_BT,2,0.001833333333333,0,0,0.001833333333333,0,0,0,0.001833333333333,0,0
0,CD_PC_BT,3,0.001833333333333,0,0,0.001833333333333,0,0,0,0.001833333333333,0,0
0,CD_PC_PV,1,0.001833333333333,0,0,0.001833333333333,0,0,0,0,0.001833333333333,0
0,CD_PC_PV,2,0.001833333333333,0,0,0.001833333333333,0,0,0,0,0.001833333333333,0
0,CD_PC_PV,3,0.001833333333333,0,0,0.001833333333333,0,0,0,0,0.001833333333333,0
0,CD_PC_EL,1,0.001833333333333,0,0,0.001833333333333,0,0,0,0,0,0.001833333333333
0,CD_PC_EL,2,0.001833333333333,0,0,0.001833333333333,0,0,0,0,0,0.001833333333333
0,CD_PC_EL,3,0.001833333333333,0,0,0.001833333333333,0,0,0,0,0,0.001833333333333
0,CD_CS_CH,1,0.001833333333333,0,0,0,0.001833333333333,0.001833333333333,0,0,0,0
0,CD_CS_CH,2,0.001833333333333,0,0,0,0.001833333333333,0.001833333333333,0,0,0,0
0,CD_CS_CH,3,0.001833333333333,0,0,0,0.001833333333333,0.001833333333333,0,0,0,0
0,CD_CS_BU,1,0.001833333333333,0,0,0,0.001833333333333,0,0.001833333333333,0,0,0
0,CD_CS_BU,2,0.001833333333333,0,0,0,0.001833333333333,0,0.001833333333333,0,0,0
0,CD_CS_BU,3,0.001833333333333,0,0,0,0.001833333333333,0,0.001833333333333,0,0,0
0,CD_CS_BT,1,0.001833333333333,0,0,0,0.001833333333333,0,0,0.001833333333333,0,0
0,CD_CS_BT,2,0.001833333333333,0,0,0,0.001833333333333,0,0,0.001833333333333,0,0
0,CD_CS_BT,3,0.001833333333333,0,0,0,0.001833333333333,0,0,0.001833333333333,0,0
0,CD_CS_PV,1,0.001833333333333,0,0,0,0.001833333333333,0,0,0,0.001833333333333,0
0,CD_CS_PV,2,0.001833333333333,0,0,0,0.001833333333333,0,0,0,0.001833333333333,0
0,CD_CS_PV,3,0.001833333333333,0,0,0,0.001833333333333,0,0,0,0.001833333333333,0
0,CD_CS_EL,1,0.001833333333333,0,0,0,0.001833333333333,0,0,0,0,0.001833333333333
