Treatments,Time,CD,CA,EL,DP,BU,PV,CDEVO
BU_1,0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0
BU_1,1,0.0,0.0,0.0,0.0,1.062533389,0.0,0.0
BU_1,2,0.0,0.0,0.0,0.0,0.497266653,0.0,0.0
BU_1,4,0.0,0.0,0.0,0.0,0.754499972,0.0,0.0
BU_1,5,0.0,0.0,0.0,0.0,0.991166621,0.0,0.0
BU_1,6,0.0,0.0,0.0,0.0,1.009100042,0.0,0.0
BU_1,7,0.0,0.0,0.0,0.0,0.990166619,0.0,0.0
BU_1,8,0.0,0.0,0.0,0.0,1.084233349,0.0,0.0
BU_2,0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0
BU_2,1,0.0,0.0,0.0,0.0,1.070833335,0.0,0.0
BU_2,2,0.0,0.0,0.0,0.0,0.505866649,0.0,0.0
BU_2,4,0.0,0.0,0.0,0.0,0.708199978,0.0,0.0
BU_2,5,0.0,0.0,0.0,0.0,0.780066639,0.0,0.0
BU_2,6,0.0,0.0,0.0,0.0,0.768300019,0.0,0.0
BU_2,7,0.0,0.0,0.0,0.0,0.801966682,0.0,0.0
BU_2,8,0.0,0.0,0.0,0.0,0.810933356,0.0,0.0
BU_3,0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0
BU_3,1,0.0,0.0,0.0,0.0,1.071433316,0.0,0.0
BU_3,2,0.0,0.0,0.0,0.0,0.460466685,0.0,0.0
BU_3,3,0.0,0.0,0.0,0.0,0.539100006,0.0,0.0
BU_3,4,0.0,0.0,0.0,0.0,0.659500003,0.0,0.0
BU_3,5,0.0,0.0,0.0,0.0,0.64136669,0.0,0.0
BU_3,6,0.0,0.0,0.0,0.0,0.651399992,0.0,0.0
BU_3,7,0.0,0.0,0.0,0.0,0.689866677,0.0,0.0
BU_3,8,0.0,0.0,0.0,0.0,0.659033363,0.0,0.0
CA_1,0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0,0.0
CA_1,1,0.0,1.071033369,0.0,0.0,0.0,0.0,0.0
CA_1,2,0.0,0.964966717,0.0,0.0,0.0,0.0,0.0
CA_1,3,0.0,1.029399946,0.0,0.0,0.0,0.0,0.0
CA_1,4,0.0,1.170600057,0.0,0.0,0.0,0.0,0.0
CA_1,5,0.0,1.07676664,0.0,0.0,0.0,0.0,0.0
CA_1,6,0.0,1.033600055,0.0,0.0,0.0,0.0,0.0
CA_1,7,0.0,1.124166682,0.0,0.0,0.0,0.0,0.0
CA_1,8,0.0,1.105933373,0.0,0.0,0.0,0.0,0.0
CA_2,0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0,0.0
CA_2,1,0.0,1.073133359,0.0,0.0,0.0,0.0,0.0
CA_2,2,0.0,0.903066638,0.0,0.0,0.0,0.0,0.0
CA_2,3,0.0,1.019000009,0.0,0.0,0.0,0.0,0.0
CA_2,4,0.0,1.177800059,0.0,0.0,0.0,0.0,0.0
CA_2,5,0.0,1.103666693,0.0,0.0,0.0,0.0,0.0
CA_2,6,0.0,1.05379995,0.0,0.0,0.0,0.0,0.0
CA_2,7,0.0,1.111866668,0.0,0.0,0.0,0.0,0.0
CA_2,8,0.0,1.148633306,0.0,0.0,0.0,0.0,0.0
CA_3,0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0,0.0
CA_3,1,0.0,1.082533369,0.0,0.0,0.0,0.0,0.0
CA_3,2,0.0,0.879866662,0.0,0.0,0.0,0.0,0.0
CA_3,3,0.0,1.055700019,0.0,0.0,0.0,0.0,0.0
CA_3,4,0.0,1.333999991,0.0,0.0,0.0,0.0,0.0
CA_3,5,0.0,0.997666627,0.0,0.0,0.0,0.0,0.0
CA_3,6,0.0,1.002999984,0.0,0.0,0.0,0.0,0.0
CA_3,7,0.0,1.011866644,0.0,0.0,0.0,0.0,0.0
CA_3,8,0.0,1.141933363,0.0,0.0,0.0,0.0,0.0
CDEVO_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.21999999999999997
CDEVO_1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.35133339
CDEVO_1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.369566681
CDEVO_1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.410199985
CDEVO_1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.414900005
CDEVO_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.383266658
CDEVO_1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.383299999
CDEVO_1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.356866673
CDEVO_1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.23013333
CDEVO_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.21999999999999997
CDEVO_2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.371633349
CDEVO_2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.386966678
CDEVO_2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.380500004
CDEVO_2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.450700015
CDEVO_2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.41776666
CDEVO_2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.3948
CDEVO_2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.385066673
CDEVO_2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.359833335
