Treatments,species,true,pred,stdv,passage
CD_BU,BU,0.630246354,0.46212833095615174,0.11204700122487458,2
CD_BU,BT,0.0,0.0,0.0,2
CD_BU,PV,0.0,0.0,0.0,2
CD_BU,EL,0.0,0.0,0.0,2
CD_BU,CD,0.38562650866666665,0.1873917508586859,0.0778191473103421,8
CD_BU,DP,0.0,0.0,0.0,8
CD_BU,CA,0.0,0.0,0.0,8
CD_BU,PC,0.0,0.0,0.0,8
CD_BU,CS,0.0,0.0,0.0,8
CD_BU,CH,0.0,0.0,0.0,8
CD_BU,BU,0.08654015366666667,0.4642823536215733,0.11440085245330765,8
CD_BU,BT,0.0,0.0,0.0,8
CD_BU,PV,0.0,0.0,0.0,8
CD_BU,EL,0.0,0.0,0.0,8
CD_BU,CD,0.5182127073333334,0.18739175085866788,0.07781914731038943,15
CD_BU,DP,0.0,0.0,0.0,15
CD_BU,CA,0.0,0.0,0.0,15
CD_BU,PC,0.0,0.0,0.0,15
CD_BU,CS,0.0,0.0,0.0,15
CD_BU,CH,0.0,0.0,0.0,15
CD_BU,BU,0.10915395900000001,0.46428235362163445,0.11440085245337818,15
CD_BU,BT,0.0,0.0,0.0,15
CD_BU,PV,0.0,0.0,0.0,15
CD_BU,EL,0.0,0.0,0.0,15
CD_BU,CD,0.573290677,0.18739175085866788,0.07781914731038943,22
CD_BU,DP,0.0,0.0,0.0,22
CD_BU,CA,0.0,0.0,0.0,22
CD_BU,PC,0.0,0.0,0.0,22
CD_BU,CS,0.0,0.0,0.0,22
CD_BU,CH,0.0,0.0,0.0,22
CD_BU,BU,0.286909323,0.46428235362163445,0.11440085245337818,22
CD_BU,BT,0.0,0.0,0.0,22
CD_BU,PV,0.0,0.0,0.0,22
CD_BU,EL,0.0,0.0,0.0,22
CD_BU,CD,0.3997198846666667,0.18739175085866788,0.07781914731038943,29
CD_BU,DP,0.0,0.0,0.0,29
CD_BU,CA,0.0,0.0,0.0,29
CD_BU,PC,0.0,0.0,0.0,29
CD_BU,CS,0.0,0.0,0.0,29
CD_BU,CH,0.0,0.0,0.0,29
CD_BU,BU,0.28471346133333336,0.46428235362163445,0.11440085245337818,29
CD_BU,BT,0.0,0.0,0.0,29
CD_BU,PV,0.0,0.0,0.0,29
CD_BU,EL,0.0,0.0,0.0,29
CD_BU,CD,0.3740135386666667,0.18739175085866788,0.07781914731038943,36
CD_BU,DP,0.0,0.0,0.0,36
CD_BU,CA,0.0,0.0,0.0,36
CD_BU,PC,0.0,0.0,0.0,36
CD_BU,CS,0.0,0.0,0.0,36
CD_BU,CH,0.0,0.0,0.0,36
CD_BU,BU,0.2444197926666667,0.46428235362163445,0.11440085245337818,36
CD_BU,BT,0.0,0.0,0.0,36
